日期,推广计划名称,宝贝名称,宝贝类型,商品id,搜索类型,流量来源,展现量,点击量,花费(分),点击率,平均点击花费(分),千次展现花费(分),点击转化率,直接成交金额(分),直接成交笔数,间接成交金额(分),间接成交笔数,总成交金额(分),总成交笔数,宝贝收藏数,店铺收藏数,总收藏数,投入产出比,直接购物车数,间接购物车数,总购物车数
2019-04-30,胶原【扩词】01-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,移动站内,14133,843,401417,5.96,476.18,28402.82,5.10,936892,35,97308,8,1034200,43,54,5,59,2.58,93,18,111
2019-04-30,胶原【长尾词】02-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,计算机站内,17,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-04-30,胶原【长尾词】02-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,移动站内,1997,119,37361,5.96,313.96,18708.56,4.20,96407,4,5493,1,101900,5,6,1,7,2.73,8,1,9
2019-04-30,胶原【长尾词】02-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,移动站外,8,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-04-30,胶原【双智能】-南烛,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,移动站内,11749,530,240067,4.51,452.96,20432.97,5.47,351387,13,316212,16,667599,29,33,6,39,2.78,35,16,51
2019-04-30,胶原【pc端】02-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,计算机站内,15953,66,21491,0.41,325.62,1347.14,0.00,0,0,0,0,0,0,1,0,1,0.00,2,2,4
2019-04-30,胶原【pc端】02-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,定向投放,计算机站内,1372,1,102,0.07,102.00,74.34,,,,,,,,,,,,,,
2019-04-30,酵素【扩词-果蔬酵素】01-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,12416,1395,395325,11.24,283.39,31839.96,7.53,1007744,89,214806,16,1222550,105,60,10,70,3.09,164,35,199
2019-04-30,胶原【长尾词】01-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,移动站内,3336,190,50000,5.70,263.16,14988.01,0.00,0,0,0,0,0,0,12,1,13,0.00,13,3,16
2019-04-30,胶原【长尾词】01-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,移动站外,4,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-04-30,酵素【扩词】02-青黛PC,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,计算机站内,2047,123,14317,6.01,116.40,6994.14,4.88,60200,5,17250,1,77450,6,2,0,2,5.41,7,0,7
2019-04-30,酵素【扩词-清肠排便】04-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,5073,418,135902,8.24,325.12,26789.28,7.42,234704,25,50696,6,285400,31,21,1,22,2.10,34,8,42
2019-04-30,酵素【扩词】03-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,9990,860,226967,8.61,263.92,22719.42,5.70,480357,44,73893,5,554250,49,29,4,33,2.44,105,15,120
2019-04-30,酵素【长尾】04-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,2120,237,51371,11.18,216.76,24231.60,4.22,100700,9,6900,1,107600,10,7,0,7,2.09,25,2,27
2019-04-30,胶原【定向-】03-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,移动站内,380,5,1315,1.32,263.00,3460.53,,,,,,,,,,,,,,
2019-04-30,胶原【定向-】03-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,定向投放,移动站内,3330,46,8118,1.38,176.48,2437.84,0.00,0,0,0,0,0,0,2,0,2,0.00,4,1,5
2019-04-30,胶原【定向1】02-鱼腥草,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,定向投放,移动站内,535,9,692,1.68,76.89,1293.46,0.00,0,0,0,0,0,0,1,0,1,0.00,5,0,5
2019-04-30,酵素【长尾】01-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,3973,158,23760,3.98,150.38,5980.37,2.53,30934,2,21916,2,52850,4,7,1,8,2.22,15,3,18
2019-04-30,酵素【长尾】02-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,2214,139,24100,6.28,173.38,10885.28,2.16,30214,2,19086,1,49300,3,5,0,5,2.05,20,2,22
2019-04-30,胶原【长尾词】03-鱼腥草-省油宝长尾A,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,搜索,移动站内,3480,111,50000,3.19,450.45,14367.82,0.90,0,0,7900,1,7900,1,5,0,5,0.16,8,1,9
2019-04-30,胶原【长尾词】03-鱼腥草-省油宝长尾A,姿美堂 鱼胶原蛋白肽精华粉水解粉口服液液态饮男女性正品非片,宝贝推广,4098099921,定向投放,移动站内,8,0,0,0.00,,0.00,,,,,,,,,,,,,,
